Year,AC_%Δ,AM_%Δ,AP_%Δ,MA_%Δ,MT_%Δ,PA_%Δ,RR_%Δ,TO_%Δ,Total_Rain_%Δ
1997,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1998,-5.595680168977624,1.1100694465178251,7.584189787545171,7.810585229940125,-568.0837148463048,-3.6850757686735625,-64.54787541970587,23.85401892896538,-10.272361433969856
1999,-16.54756335597103,-18.40128496207909,-19.002197802197806,-38.6660935123339,2.3278092441088027,-17.29662799642082,3.4172999343277777,-31.35347682119207,-16.036895571528675
2000,17.10750321803762,2.032313011903142,0.20315443430724,1.4465105853288862,-9.508093441484533,-14.801144572136904,-3.365793244129245,-4.2493442942010295,-0.6262947462299051
2001,0.3189233415151316,4.257744785186679,21.76326893182321,6.3897330674977155,-9.709601077391783,16.494951381164626,30.19382121461294,12.908502542583832,11.665706917754026
2002,-8.094073503299914,-6.442545047249326,-17.70744630523229,2.262717121588087,10.662400038137509,4.183019668975263,-22.49520411940904,1.3545792331876916,-4.775105362033538
2003,1.7929645126297356,12.2459352189082,22.780434869981136,0.6410561558845784,-19.849787554778885,5.227442358644796,0.9945874659999299,4.942206401274851,5.6262564795213414
2004,-9.988480898805484,8.176923502299582,-40.59751210118145,-16.04037242282452,-4.386687444345494,-12.045941327541776,-8.994033578465356,-16.314867027356538,-11.756881041960842
2005,14.768374388476847,-0.4925149912297533,4.0647095842742615,13.586839340682555,10.815623633785087,2.012949948271514,-9.229554944495334,-1.0454103024857941,4.279119986733071
2006,-3.0214277298052483,-12.523734726191194,-8.817287285356091,-10.614442096769071,-18.710394796623508,-7.678678159350216,-19.248968555511546,1.330060667809041,-9.83770885615225
2007,-4.880399973857874,3.1971789926895977,4.4219858156029135,19.344403916298724,15.76842889804302,11.9714857287763,8.739420238863161,26.67348797041177,9.674708539790588
2008,-0.4439874748797479,-13.197488895194965,12.688754498571553,-33.645732919180716,-6.906529875285483,-18.866148990788133,10.079677861548975,-35.57620913024549,-7.465072342866996
2009,-10.332526831689304,1.3365803495828943,-6.573747503505678,-13.219677911993543,-3.734047669645557,-4.169224803696636,31.227669001000447,-1.6949312584982446,-0.7308382960015569
2010,27.568950490595757,12.959102717670357,3.68421052631579,35.67333102623795,6.922707840272602,20.605045405547926,-53.484344693820994,14.279612624072602,11.539841864484156
2011,-9.746535729534589,-13.985672370909885,-5.882596456366929,-40.53736817973406,-5.320590790616864,-17.91871379872827,-4.136390305546778,-19.450823223570147,-13.355344885601905
2012,-23.69314564617668,-5.153044291773279,15.811080267427723,38.1496754885073,4.419916848148908,14.857029256817189,16.815827681106033,20.507449422817114,10.081096097214227
2013,-2.2531667286191936,0.0298221111072694,-32.475734918497224,-22.268328363247726,-17.70953802956288,-9.25691714986181,-3.97530413942222,-25.859551459013108,-12.461757462051137
2014,-6.119795307737497,7.348371475590765,11.354553740447393,-1.879249450663223,15.62044794650449,-2.332974185907788,34.808207852078276,6.6110159429353725,8.093249873058827
2015,10.960618716979154,22.62668162036562,4.227468659785671,26.142632104927355,11.073778416295587,20.495172129744844,0.4880860876248949,26.683618505973595,15.431680955626682
2016,38.364900858242045,6.771391417425255,-2.816087207861906,-12.115189089602541,1.5756871237937786,-10.898259080362482,-57.61788900475029,-10.008869120898023,-1.8063839330596299
2017,-69.62283629030313,-29.590574103830637,7.329317269076219,-25.641794912006777,-24.455836518093378,-10.689483882216289,20.04312457120451,-6.555641124374301,-13.722609089500493
2018,3.8321090399558,0.23373405217156362,-13.954496208017364,-3.9719968523593607,-1.876984790238967,-3.119399658221278,-29.771390046580002,-13.226127021411127,-6.7946181915721215
2019,-15.95911429012955,-6.130593558261577,-11.329150028522573,3.379196592617373,16.584909684511018,-3.8640116897377563,-3.7216331735423935,21.212997686108658,-1.679735480961475
