,Year,Station Name,State,rain_sum
40,1988,PEDRO AFONSO ,TO,1511.6000000000008
41,1988,PEIXE ,TO,1961.0
42,1988,PORTO DE MOZ ,PA,2734.2999999999997
43,1988,PORTO NACIONAL ,TO,1475.9999999999993
44,1988,RIO BRANCO ,AC,2340.1000000000004
45,1988,S G DA CACHOEIRA UAUPES  ,AM,3323.200000000001
46,1988,SAO FELIX DO XINGU ,PA,2146.7999999999993
47,1988,SAO LUIS ,MA,2843.3999999999996
48,1988,SOURE ,PA,4318.2
49,1988,TAGUATINGA ,TO,1758.8
50,1988,TARAUACA ,AC,662.8000000000001
51,1988,TEFE ,AM,2928.300000000002
52,1988,TRACUATEUA ,PA,2592.7
53,1988,TUCURUI ,PA,2890.599999999999
54,1988,TURIACU ,MA,2608.5000000000005
55,1988,ZE DOCA ,MA,2196.9000000000005
56,1989,ALTAMIRA ,PA,2652.7999999999997
57,1989,ALTO PARNAIBA ,MA,1974.1999999999994
58,1989,ARAGUAINA ,TO,2110.3
59,1989,BACABAL ,MA,2264.0
60,1989,BALSAS ,MA,1404.7
61,1989,BARCELOS ,AM,2704.2000000000007
62,1989,BARRA DO CORDA ,MA,815.9000000000001
63,1989,BELEM ,PA,2837.6000000000004
64,1989,BELTERRA ,PA,2409.900000000001
65,1989,BENJAMIN CONSTANT ,AM,1912.3000000000009
66,1989,BOA VISTA ,RR,933.8000000000001
67,1989,BREVES ,PA,2240.2999999999997
68,1989,CACERES ,MT,1375.8999999999999
69,1989,CAMETA ,PA,2950.7999999999997
70,1989,CAROLINA ,MA,1598.2000000000007
71,1989,CAXIAS ,MA,2104.5999999999995
72,1989,CHAPADINHA ,MA,1953.699999999999
73,1989,COLINAS ,MA,1266.8000000000002
74,1989,CONCEICAO DO ARAGUAIA ,PA,1952.2000000000007
75,1989,CRUZEIRO DO SUL ,AC,2534.0000000000005
76,1989,CUIABA ,MT,1796.500000000001
77,1989,DIAMANTINO ,MT,1554.9999999999998
78,1989,EIRUNEPE ,AM,2313.0000000000023
79,1989,FONTE BOA ,AM,2594.0
80,1989,GLEBA CELESTE ,MT,2313.2
81,1989,IAUARETE ,AM,2925.3999999999996
82,1989,IMPERATRIZ ,MA,1568.8000000000004
83,1989,ITAITUBA ,PA,2220.8999999999996
84,1989,LABREA ,AM,2542.4
85,1989,MACAPA ,AP,2925.699999999999
86,1989,MANAUS ,AM,3113.3999999999996
87,1989,MANICORE ,AM,3092.0
88,1989,MARABA ,PA,2375.300000000001
89,1989,MONTE ALEGRE ,PA,2114.9
90,1989,NOVA XAV  XAVANTINA  ,MT,0.0
91,1989,OBIDOS ,PA,2311.4999999999995
92,1989,PADRE RICARDO REMETTER ,MT,929.0000000000005
93,1989,PARINTINS ,AM,3487.700000000001
94,1989,PEDRO AFONSO ,TO,2251.8000000000006
95,1989,PEIXE ,TO,1945.3000000000009
96,1989,PORTO DE MOZ ,PA,2647.4
97,1989,PORTO NACIONAL ,TO,1866.1000000000006
98,1989,RIO BRANCO ,AC,2156.200000000001
99,1989,S G DA CACHOEIRA UAUPES  ,AM,3384.400000000001
100,1989,SAO FELIX DO XINGU ,PA,1644.0000000000002
101,1989,SAO LUIS ,MA,2755.599999999998
102,1989,SOURE ,PA,3339.800000000001
103,1989,TAGUATINGA ,TO,1623.5000000000005
104,1989,TEFE ,AM,3162.300000000002
105,1989,TRACUATEUA ,PA,1315.2
106,1989,TUCURUI ,PA,2520.199999999999
107,1989,TURIACU ,MA,2166.7999999999997
108,1989,ZE DOCA ,MA,2289.8999999999996
109,1990,ALTAMIRA ,PA,1710.899999999999
110,1990,ALTO PARNAIBA ,MA,924.2000000000002
111,1990,ARAGUAINA ,TO,1590.5999999999997
112,1990,BACABAL ,MA,1602.1999999999998
113,1990,BALSAS ,MA,1044.9999999999993
114,1990,BARRA DO CORDA ,MA,612.3000000000003
115,1990,BELEM ,PA,2451.3000000000006
116,1990,BELTERRA ,PA,1625.8
117,1990,BREVES ,PA,1421.3
118,1990,CACERES ,MT,1262.2000000000003
119,1990,CAMETA ,PA,2471.599999999999
120,1990,CAROLINA ,MA,1296.5000000000002
121,1990,CAXIAS ,MA,1036.3000000000004
122,1990,CHAPADINHA ,MA,1572.2
123,1990,COARI ,AM,1306.2000000000007
124,1990,COLINAS ,MA,813.5000000000003
125,1990,CONCEICAO DO ARAGUAIA ,PA,1212.8999999999999
126,1990,CRUZEIRO DO SUL ,AC,2848.1
127,1990,DIAMANTINO ,MT,1514.9
128,1990,EIRUNEPE ,AM,1034.600000000001
129,1990,FONTE BOA ,AM,2407.5999999999985
130,1990,GLEBA CELESTE ,MT,1187.1
131,1990,IAUARETE ,AM,2577.7
132,1990,IMPERATRIZ ,MA,1476.3999999999994
133,1990,ITACOATIARA ,AM,2732.2000000000003
134,1990,ITAITUBA ,PA,1914.9000000000008
135,1990,LABREA ,AM,1004.0
136,1990,MACAPA ,AP,2762.2
137,1990,MANAUS ,AM,1843.2000000000005
138,1990,MANICORE ,AM,498.0
139,1990,MARABA ,PA,2124.2000000000007
140,1990,MONTE ALEGRE ,PA,1734.9000000000005
141,1990,OBIDOS ,PA,1822.4000000000008
142,1990,PADRE RICARDO REMETTER ,MT,887.1000000000001
143,1990,PARINTINS ,AM,1764.5999999999995
144,1990,PEDRO AFONSO ,TO,1034.3999999999996
145,1990,PEIXE ,TO,1158.8000000000002
146,1990,PORTO DE MOZ ,PA,2638.100000000001
147,1990,PORTO NACIONAL ,TO,587.4000000000001
148,1990,RIO BRANCO ,AC,2040.3000000000013
149,1990,S G DA CACHOEIRA UAUPES  ,AM,2710.6999999999985
150,1990,SAO FELIX DO XINGU ,PA,1759.3000000000002
151,1990,SAO LUIS ,MA,1753.5999999999992
152,1990,SOURE ,PA,2469.9
153,1990,TAGUATINGA ,TO,703.1999999999998
154,1990,TARAUACA ,AC,906.0000000000001
155,1990,TEFE ,AM,1503.0000000000002
156,1990,TRACUATEUA ,PA,1809.1000000000008
157,1990,TUCURUI ,PA,1707.1000000000006
158,1990,TURIACU ,MA,1638.9
159,1990,ZE DOCA ,MA,1539.9999999999993
160,1991,ALTAMIRA ,PA,1998.1000000000004
161,1991,ALTO PARNAIBA ,MA,1124.2
162,1991,ARAGUAINA ,TO,1532.2000000000003
163,1991,BACABAL ,MA,1330.3999999999999
164,1991,BALSAS ,MA,1329.8999999999999
165,1991,BARRA DO CORDA ,MA,940.5000000000001
166,1991,BELEM ,PA,2385.7999999999984
167,1991,BELTERRA ,PA,1827.6999999999996
168,1991,BREVES ,PA,0.0
169,1991,CAMETA ,PA,2234.6999999999985
170,1991,CAROLINA ,MA,1615.4999999999995
171,1991,CAXIAS ,MA,1104.2000000000003
172,1991,CHAPADINHA ,MA,1672.8999999999994
173,1991,COLINAS ,MA,1089.5
174,1991,CONCEICAO DO ARAGUAIA ,PA,2061.4000000000005
175,1991,DIAMANTINO ,MT,1476.0999999999995
176,1991,GLEBA CELESTE ,MT,125.39999999999999
177,1991,IMPERATRIZ ,MA,1373.6
178,1991,ITAITUBA ,PA,2154.4
179,1991,MACAPA ,AP,2404.7999999999984
180,1991,MANAUS ,AM,2137.9999999999995
181,1991,MARABA ,PA,2150.1000000000004
182,1991,MONTE ALEGRE ,PA,1788.0999999999997
183,1991,OBIDOS ,PA,1967.0
184,1991,PEDRO AFONSO ,TO,1724.5999999999992
185,1991,PEIXE ,TO,1493.5000000000002
186,1991,PORTO DE MOZ ,PA,2318.3999999999983
187,1991,PORTO NACIONAL ,TO,487.4000000000001
188,1991,SAO FELIX DO XINGU ,PA,2965.8999999999996
189,1991,SAO LUIS ,MA,2167.6
190,1991,SOURE ,PA,3958.899999999999
191,1991,TAGUATINGA ,TO,0.0
192,1991,TRACUATEUA ,PA,3432.7000000000003
193,1991,TUCURUI ,PA,1831.6999999999994
194,1991,TURIACU ,MA,2823.1999999999985
195,1991,ZE DOCA ,MA,1585.1999999999996
196,1992,ALTAMIRA ,PA,1244.5
197,1992,ALTO PARNAIBA ,MA,1281.5999999999992
198,1992,ARAGUAINA ,TO,1611.0999999999995
199,1992,BACABAL ,MA,1172.9
200,1992,BALSAS ,MA,1088.3
201,1992,BARRA DO CORDA ,MA,801.0999999999998
202,1992,BELEM ,PA,2810.4999999999995
203,1992,BELTERRA ,PA,974.2
204,1992,CACERES ,MT,14.9
205,1992,CAMETA ,PA,1508.3000000000004
206,1992,CAROLINA ,MA,1238.3999999999999
207,1992,CAXIAS ,MA,98.8
208,1992,CHAPADINHA ,MA,940.3999999999999
209,1992,COLINAS ,MA,1119.7000000000003
210,1992,CONCEICAO DO ARAGUAIA ,PA,1567.1
211,1992,CUIABA ,MT,48.3
212,1992,DIAMANTINO ,MT,1690.9000000000003
213,1992,GLEBA CELESTE ,MT,500.49999999999994
214,1992,IMPERATRIZ ,MA,1272.900000000001
215,1992,ITAITUBA ,PA,1738.7000000000012
216,1992,MACAPA ,AP,2202.7
217,1992,MANAUS ,AM,1950.2
218,1992,MARABA ,PA,1215.3
219,1992,MONTE ALEGRE ,PA,976.0000000000002
220,1992,OBIDOS ,PA,1209.0000000000002
221,1992,PADRE RICARDO REMETTER ,MT,817.6
